Epoch 1, Loss: 0.934319695321525, epoch_time: 20.34 seconds
Epoch 2, Loss: 0.9343477632941269, epoch_time: 20.95 seconds
Epoch 3, Loss: 0.9343116436062789, epoch_time: 20.43 seconds
Epoch 4, Loss: 0.9342857773711042, epoch_time: 20.84 seconds
Epoch 5, Loss: 0.9343682869178492, epoch_time: 20.49 seconds
Epoch 6, Loss: 0.9343466613350845, epoch_time: 20.85 seconds
Epoch 7, Loss: 0.9343348479852444, epoch_time: 20.64 seconds
Epoch 8, Loss: 0.9342377621953081, epoch_time: 20.77 seconds
Epoch 9, Loss: 0.9343147423209214, epoch_time: 20.79 seconds
Epoch 10, Loss: 0.9342727712014827, epoch_time: 20.48 seconds
Epoch 11, Loss: 0.9343995066677652, epoch_time: 20.90 seconds
Epoch 12, Loss: 0.9343162985836587, epoch_time: 20.46 seconds
Epoch 13, Loss: 0.9341833417008563, epoch_time: 21.11 seconds
Epoch 14, Loss: 0.9344786151153285, epoch_time: 20.63 seconds
Epoch 15, Loss: 0.9342554618672627, epoch_time: 20.89 seconds
Epoch 16, Loss: 0.9342175118806886, epoch_time: 20.53 seconds
Epoch 17, Loss: 0.9343600687457294, epoch_time: 20.98 seconds
Epoch 18, Loss: 0.9343604532683768, epoch_time: 20.60 seconds
Epoch 19, Loss: 0.9342625308327559, epoch_time: 20.91 seconds
Epoch 20, Loss: 0.9342068964388313, epoch_time: 20.43 seconds
Epoch 21, Loss: 0.934300620381425, epoch_time: 20.85 seconds
Epoch 22, Loss: 0.9343000199736619, epoch_time: 20.52 seconds
Epoch 23, Loss: 0.934314522801376, epoch_time: 20.66 seconds
Epoch 24, Loss: 0.9343228340148926, epoch_time: 20.54 seconds
Epoch 25, Loss: 0.9342255316129545, epoch_time: 20.47 seconds
Epoch 26, Loss: 0.934404705355807, epoch_time: 20.67 seconds
Epoch 27, Loss: 0.9343011088487578, epoch_time: 20.42 seconds
Epoch 28, Loss: 0.9342799782752991, epoch_time: 20.78 seconds
Epoch 29, Loss: 0.9344008804821387, epoch_time: 20.38 seconds
Epoch 30, Loss: 0.934336756060763, epoch_time: 20.79 seconds
Epoch 31, Loss: 0.9342668630727907, epoch_time: 20.40 seconds
Epoch 32, Loss: 0.9342538794366325, epoch_time: 20.81 seconds
Epoch 33, Loss: 0.9342456103824988, epoch_time: 20.42 seconds
Epoch 34, Loss: 0.9342642528254811, epoch_time: 20.92 seconds
Epoch 35, Loss: 0.9341895224117651, epoch_time: 20.40 seconds
Epoch 36, Loss: 0.9342652021384821, epoch_time: 20.77 seconds
Epoch 37, Loss: 0.9343466765996886, epoch_time: 20.41 seconds
Epoch 38, Loss: 0.934328332906816, epoch_time: 20.77 seconds
Epoch 39, Loss: 0.9341928769902486, epoch_time: 20.47 seconds
Epoch 40, Loss: 0.9343522002057332, epoch_time: 20.85 seconds
Epoch 41, Loss: 0.934295604868633, epoch_time: 20.53 seconds
Epoch 42, Loss: 0.9343099361512719, epoch_time: 20.62 seconds
Epoch 43, Loss: 0.9343392529138704, epoch_time: 20.59 seconds
Epoch 44, Loss: 0.9341675341129303, epoch_time: 20.49 seconds
Epoch 45, Loss: 0.9342825267373062, epoch_time: 20.79 seconds
Epoch 46, Loss: 0.9342721598904308, epoch_time: 20.41 seconds
Epoch 47, Loss: 0.9343082236080635, epoch_time: 20.87 seconds
Epoch 48, Loss: 0.9343331841433921, epoch_time: 20.31 seconds
Epoch 49, Loss: 0.9342760792592677, epoch_time: 20.85 seconds
Epoch 50, Loss: 0.9343503081217045, epoch_time: 20.45 seconds
Epoch 51, Loss: 0.9342814502192707, epoch_time: 20.80 seconds
Epoch 52, Loss: 0.9343272629307537, epoch_time: 20.44 seconds
Epoch 53, Loss: 0.9343098729121976, epoch_time: 20.95 seconds
Epoch 54, Loss: 0.9343062559279, epoch_time: 20.39 seconds
Epoch 55, Loss: 0.9343106172433714, epoch_time: 20.89 seconds
Epoch 56, Loss: 0.9343332939031648, epoch_time: 20.44 seconds
Epoch 57, Loss: 0.9342738230053972, epoch_time: 20.89 seconds
Epoch 58, Loss: 0.9343004015887656, epoch_time: 20.47 seconds
Epoch 59, Loss: 0.9343155484373976, epoch_time: 20.84 seconds
Epoch 60, Loss: 0.934238083478881, epoch_time: 20.46 seconds
Epoch 61, Loss: 0.9343369356015834, epoch_time: 20.77 seconds
Epoch 62, Loss: 0.9343580705363576, epoch_time: 20.62 seconds
Epoch 63, Loss: 0.9342979650671889, epoch_time: 20.56 seconds
Epoch 64, Loss: 0.9342322371354917, epoch_time: 20.63 seconds
Epoch 65, Loss: 0.9342112003303156, epoch_time: 20.45 seconds
Epoch 66, Loss: 0.9342864904461837, epoch_time: 20.77 seconds
Epoch 67, Loss: 0.9342298812982512, epoch_time: 20.44 seconds
Epoch 68, Loss: 0.9342148885494326, epoch_time: 20.87 seconds
Epoch 69, Loss: 0.9343341225531043, epoch_time: 20.34 seconds
Epoch 70, Loss: 0.9343773184753046, epoch_time: 20.86 seconds
Epoch 71, Loss: 0.9342808032908091, epoch_time: 20.33 seconds
Epoch 72, Loss: 0.934291611357433, epoch_time: 20.87 seconds
Epoch 73, Loss: 0.9343118216933274, epoch_time: 20.34 seconds
Epoch 74, Loss: 0.9342652573818113, epoch_time: 20.85 seconds
Epoch 75, Loss: 0.9342684600411392, epoch_time: 20.39 seconds
Epoch 76, Loss: 0.9343191189009968, epoch_time: 20.84 seconds
Epoch 77, Loss: 0.9343052622748584, epoch_time: 20.39 seconds
Epoch 78, Loss: 0.9342079366125712, epoch_time: 20.71 seconds
Epoch 79, Loss: 0.934335931772139, epoch_time: 20.44 seconds
Epoch 80, Loss: 0.9343524269941377, epoch_time: 20.74 seconds
Epoch 81, Loss: 0.9341969838956508, epoch_time: 20.58 seconds
Epoch 82, Loss: 0.9342438629487666, epoch_time: 20.56 seconds
Epoch 83, Loss: 0.9343869104617979, epoch_time: 20.59 seconds
Epoch 84, Loss: 0.9341704867235044, epoch_time: 20.40 seconds
Epoch 85, Loss: 0.9343274657319232, epoch_time: 20.77 seconds
Epoch 86, Loss: 0.934351796784052, epoch_time: 20.35 seconds
Epoch 87, Loss: 0.9341656442095594, epoch_time: 20.81 seconds
Epoch 88, Loss: 0.9343139296624718, epoch_time: 20.35 seconds
Epoch 89, Loss: 0.9342654958003904, epoch_time: 20.84 seconds
Epoch 90, Loss: 0.934324381554999, epoch_time: 20.37 seconds
Epoch 91, Loss: 0.9343276314619111, epoch_time: 20.84 seconds
Epoch 92, Loss: 0.934307708245952, epoch_time: 20.32 seconds
Epoch 93, Loss: 0.9342736434645769, epoch_time: 20.83 seconds
Epoch 94, Loss: 0.9343222939386601, epoch_time: 20.42 seconds
Epoch 95, Loss: 0.9341965702975669, epoch_time: 20.80 seconds
Epoch 96, Loss: 0.9342115804916475, epoch_time: 20.39 seconds
Epoch 97, Loss: 0.9344186143177312, epoch_time: 20.74 seconds
Epoch 98, Loss: 0.9342743957914957, epoch_time: 20.48 seconds
Epoch 99, Loss: 0.9341984827344011, epoch_time: 20.64 seconds
Epoch 100, Loss: 0.9342672715826732, epoch_time: 20.53 seconds
Epoch 101, Loss: 0.9343379408847995, epoch_time: 20.48 seconds
Epoch 102, Loss: 0.9342646700579945, epoch_time: 20.61 seconds
Epoch 103, Loss: 0.9341634010396352, epoch_time: 20.46 seconds
Epoch 104, Loss: 0.9344690718301912, epoch_time: 20.69 seconds
Epoch 105, Loss: 0.93442773237461, epoch_time: 20.35 seconds
Epoch 106, Loss: 0.9342373769457747, epoch_time: 20.83 seconds
Epoch 107, Loss: 0.9344493863059253, epoch_time: 20.36 seconds
Epoch 108, Loss: 0.9342265477994594, epoch_time: 20.79 seconds
Epoch 109, Loss: 0.9343821820689411, epoch_time: 20.36 seconds
Epoch 110, Loss: 0.9343793159577904, epoch_time: 20.83 seconds
Epoch 111, Loss: 0.9342830660866528, epoch_time: 20.39 seconds
Epoch 112, Loss: 0.9342572020321358, epoch_time: 20.79 seconds
Epoch 113, Loss: 0.9342827128200997, epoch_time: 20.36 seconds
